singkatan,hasil
tak,tidak
msh,masih
msk,masuk
apbn,anggaran pendapatan dan belanja negara
yg,yang
sbg,sebagai
sby,susilo bambang yudhoyono
udh,sudah
udah,sudah
when,kapan
tdk,tidak
knp,kenapa
pake,pakai
pak,bapak
dapet,dapat
tlglah,tolong
bkn,bukan
buk,ibu
sdh,sudah
sdg,sedang
lg,lagi
utk,untuk
sptnya,sepertinya
tnp,tanpa
blm,belum
sj,saja
smg,semoga
aja,saja
nggak,tidak
btw,ngomong ngomong
bnr,benar
bpk,bapak
bp,bapak
tu,itu
statement,kalimat
bgmn,bagaimana
byk,banyak
pdhal,padahal
byr,bayar
ngga,tidak
to,untuk
sampe,sampai
rame,ramai
trs,terus
aku,saya
ndang,buruan
please,*memohon
bgt,banget
bbrapa,beberapa
ttd,tanda tangan
ngrusak,merusak
otw,lagi di jalan
ngarep,berharap
bs,bisa
ngisi,mengisi
ngurusin,mengurusi
blg,bilang
slh,salah
mikir,berfikir
org,orang
uda,sudah
respect,rasa hormat
piye,bagaimana
prnh,pernah
smpe,sampai
org2,orang-orang
timnas,tim nasional
mrk,mereka
nomer,nomor
bole,boleh
thn,tahun
brp,berapa
sy,saya
pdhl,padahal
trus,terus
skrg,sekarang
skrng,sekarang
ngantor,pergi ke kantor
pengen,ingin
ngangur,menganggur
tlh,telah
masing2,masing-masing
u,kamu
no,nomor
mudah2an,mudah-mudahan
trm,terima
tp,tetapi
sblm,sebelum
ngerusak,merusak
shiap,siap
always,selalu
ngawasin,mengawasi
ngebayangin,membayangkan
slalu,selalu
sama2,sama-sama
nanya,bertanya
ngajarin,mengajari
mjdi,menjadi
wes,sudah
saiki,sekarang
website,situs
satu-dua.,satu dua
kpkri,komisi pemberantas korupsi
kemenkumham,kementrian hukum dan ham
respon,tanggapan
netizen,masyarakat
pemberitaan,berita
Emprit,burung
lur,kawan
WTS,menjual
WTB,membeli
gw,saya
era,zaman
jkw,jokowi
diboyong,di bawa
pertanggung,tanggung
jawaban,jawab
due,punya
jd,jadi
jdi,jadi
bs,bisa
dirusaknya,di rusak
dr,dari
didepak,di pecat
prabs,prabowo
srimulyani,sri mulyani
digibahin,di bicarakan
sejawat,sebaya
akmil,akademi militer
pace,paman
ngomong,bicara
ri,republik indonesia
kelakuan,perilaku
nyeleneh,aneh
keknya,sepertinya
kek,seperti
kemenkeu,kementrian keuangan
kemenko,kementrian koordinator
oknum,kelompok
ham,hak asasi manusia
TNI,tentara nasional indonesia
wamen,wakil mentri
IG,instagram
tahu,mengetahui
skeptis,meragukan
blunder,kesalahan
menko,mentri koordinator
fufufafa,licik
ala,khas
ga,tidak
dlm,dalam
bhw,bahwa
draft,data
cawe,menyapa
isu,informasi
partaigolkar,golkar
golkarpedia,golkar
bppmhkp,badan pengendalian dan pengawasan mutu hasil kelautan dan perikanan
segini,ini
lgi,lagi
bung,kakak
second,bekas
oprasionalnya,oprasional
manfaatnya,manfaat
bermanfaat,manfaat
memanfaatkan,manfaat
dimanfaatkan,manfaat
KKP,kartu kredit pemerintah
krn,karena
yth,yang terhormat
dpt,dapat
kayak,seperti
gini,ini
usul,saran
reshufle,pengangkatan dan pemecatan
kader ,kelompok
kanwil,kantor wilayah
kalsel,kalimantan selatan
